"id","port_number","transport_protocol","service_name","description","registration_date","modification_date","reference","assignment_notes","traffic"
"2116",1403,"udp","prm-nm-np","Prospero Resource Manager",,,,,7.46607509152975e-09
"2117",1404,"tcp","igi-lm","Infinite Graphics License Manager",,,,,2.55606139431102e-06
"2118",1404,"udp","igi-lm","Infinite Graphics License Manager",,,,,2.39397717154854e-08
"2119",1405,"tcp","ibm-res","IBM Remote Execution Starter",,,,,8.40039745819348e-07
"2120",1405,"udp","ibm-res","IBM Remote Execution Starter",,,,,2.27394267809212e-08
"2121",1406,"tcp","netlabs-lm","NetLabs License Manager",,,,,1.56793430067002e-06
"2122",1406,"udp","netlabs-lm","NetLabs License Manager",,,,,5.01660601377036e-07
"2123",1407,"tcp","tibet-server","TIBET Data Server",2015-06-16,,,"This port has been retasked on 2015-06-16.",2.56590466483016e-06
"2124",1408,"tcp","sophia-lm","Sophia License Manager",,,,,1.98923236943377e-06
"2125",1408,"udp","sophia-lm","Sophia License Manager",,,,,1.3177110488707e-06
"2126",1409,"tcp","here-lm","Here License Manager",,,,,1.47238650005755e-06
"2127",1409,"udp","here-lm","Here License Manager",,,,,5.33551399653217e-08
"2128",1410,"tcp","hiq","HiQ License Manager",,,,,1.497068335932e-05
"2129",1410,"udp","hiq","HiQ License Manager",,,,,2.16245459472631e-08
"2130",1411,"tcp","af","AudioFile",,,,,4.54185768120484e-06
"2131",1411,"udp","af","AudioFile",,,,,4.83845347582816e-07
"2132",1412,"tcp","innosys","InnoSys",,,,,3.19947157464701e-06
"2133",1412,"udp","innosys","InnoSys",,,,,2.23578271144798e-06
"2134",1413,"tcp","innosys-acl","Innosys-ACL",,,,,1.38888790974132e-06
"2135",1413,"udp","innosys-acl","Innosys-ACL",,,,,1.21455620651755e-08
"2136",1414,"tcp","ibm-mqseries","IBM MQSeries",,,,,1.38500060294443e-06
"2137",1414,"udp","ibm-mqseries","IBM MQSeries",,,,,1.66019828237058e-07
"2138",1415,"tcp","dbstar","DBStar",,,,,9.56683942245116e-06
"2139",1415,"udp","dbstar","DBStar",,,,,2.17799203376218e-08
"2140",1416,"tcp","novell-lu6-2","Novell LU6.2
IANA assigned this well-formed service name as a replacement for ""novell-lu6.2"".",,,,,1.49923049582293e-06
"2141",1416,"udp","novell-lu6-2","Novell LU6.2
IANA assigned this well-formed service name as a replacement for ""novell-lu6.2"".",,,,,1.99921243163165e-07
"2142",1417,"tcp","timbuktu-srv1","Timbuktu Service 1 Port",,,,,2.71551063768633e-06
"2143",1417,"udp","timbuktu-srv1","Timbuktu Service 1 Port",,,,,5.02527276124414e-09
"2144",1418,"tcp","timbuktu-srv2","Timbuktu Service 2 Port",,,,,1.80879612265708e-06
"2145",1418,"udp","timbuktu-srv2","Timbuktu Service 2 Port",,,,,2.77488182820346e-09
"2146",1419,"tcp","timbuktu-srv3","Timbuktu Service 3 Port",,,,,1.96504324556179e-06
"2147",1419,"udp","timbuktu-srv3","Timbuktu Service 3 Port",,,,,1.96069710132664e-08
"2148",1420,"tcp","timbuktu-srv4","Timbuktu Service 4 Port",,,,,1.47226951902288e-06
"2149",1420,"udp","timbuktu-srv4","Timbuktu Service 4 Port",,,,,5.10499013813116e-08
"2150",1421,"tcp","gandalf-lm","Gandalf License Manager",,,,,1.0680312963614e-05
"2151",1421,"udp","gandalf-lm","Gandalf License Manager",,,,,1.10460385737944e-07
"2152",1422,"tcp","autodesk-lm","Autodesk License Manager",,,,,1.05902987998112e-06
"2153",1422,"udp","autodesk-lm","Autodesk License Manager",,,,,1.56967182513542e-07
"2154",1423,"tcp","essbase","Essbase Arbor Software",,,,,2.65317947498451e-06
"2155",1423,"udp","essbase","Essbase Arbor Software",,,,,9.15628322519977e-09
"2156",1424,"tcp","hybrid","Hybrid Encryption Protocol",,,,,2.25942213087778e-06
"2157",1424,"udp","hybrid","Hybrid Encryption Protocol",,,,,3.18553519584658e-08
"2158",1425,"tcp","zion-lm","Zion Software License Manager",,,,,6.85052473457405e-06
"2159",1425,"udp","zion-lm","Zion Software License Manager",,,,,1.60376987298336e-08
"2160",1426,"tcp","sais","Satellite-data Acquisition System 1",,,,,2.77588750490817e-06
"2161",1426,"udp","sais","Satellite-data Acquisition System 1",,,,,1.32191025051862e-08
"2162",1427,"tcp","mloadd","mloadd monitoring tool",,,,,2.26785270600471e-06
"2163",1427,"udp","mloadd","mloadd monitoring tool",,,,,1.92069433547206e-07
"2164",1428,"tcp","informatik-lm","Informatik License Manager",,,,,1.48876073415027e-06
"2165",1428,"udp","informatik-lm","Informatik License Manager",,,,,3.76859355878343e-06
"2166",1429,"tcp","nms","Hypercom NMS",,,,,2.71739625080934e-06
"2167",1429,"udp","nms","Hypercom NMS",,,,,5.72069185823307e-09
"2168",1430,"tcp","tpdu","Hypercom TPDU",,,,,7.24602402370312e-06
"2169",1430,"udp","tpdu","Hypercom TPDU",,,,,8.29060719614349e-08
"2170",1431,"tcp","rgtp","Reverse Gossip Transport",,,,,2.61460929702846e-06
"2171",1431,"udp","rgtp","Reverse Gossip Transport",,,,,7.08492484837899e-09
"2172",1432,"tcp","blueberry-lm","Blueberry Software License Manager",,,,,1.24473845953491e-06
"2173",1432,"udp","blueberry-lm","Blueberry Software License Manager",,,,,4.38093565560752e-09
"2174",1433,"tcp","ms-sql-s","Microsoft-SQL-Server",,,,,1.43672655483435e-05
"2175",1433,"udp","ms-sql-s","Microsoft-SQL-Server",,,,,1.15975767284837e-08
"2176",1434,"tcp","ms-sql-m","Microsoft-SQL-Monitor",,,,,1.51533016421214e-06
"2177",1434,"udp","ms-sql-m","Microsoft-SQL-Monitor",,,,,6.5902481539386e-08
"2178",1435,"tcp","ibm-cics","IBM CICS",,,,,1.62516307645057e-06
"2179",1435,"udp","ibm-cics","IBM CICS",,,,,4.42497750071425e-08
"2180",1436,"tcp","saism","Satellite-data Acquisition System 2",,,,,4.0475655752179e-06
"2181",1436,"udp","saism","Satellite-data Acquisition System 2",,,,,2.80876212269082e-07
"2182",1437,"tcp","tabula","Tabula",,,,,1.12985104974211e-06
"2183",1437,"udp","tabula","Tabula",,,,,1.12296881561587e-08
"2184",1438,"tcp","eicon-server","Eicon Security Agent/Server",,,,,1.81498080927008e-06
"2185",1438,"udp","eicon-server","Eicon Security Agent/Server",,,,,3.79213384313077e-08
"2186",1439,"tcp","eicon-x25","Eicon X25/SNA Gateway",,,,,3.00302890048776e-06
"2187",1439,"udp","eicon-x25","Eicon X25/SNA Gateway",,,,,9.2759797916354e-06
"2188",1440,"tcp","eicon-slp","Eicon Service Location Protocol",,,,,8.87783561779712e-07
"2189",1440,"udp","eicon-slp","Eicon Service Location Protocol",,,,,1.54350294664992e-08
"2190",1441,"tcp","cadis-1","Cadis License Management",,,,,2.748554792014e-06
"2191",1441,"udp","cadis-1","Cadis License Management",,,,,9.2118676356571e-09
"2192",1442,"tcp","cadis-2","Cadis License Management",,,,,1.75840136418728e-06
"2193",1442,"udp","cadis-2","Cadis License Management",,,,,1.71486501795352e-08
"2194",1443,"tcp","ies-lm","Integrated Engineering Software",,,,,2.21156653213025e-05
"2195",1443,"udp","ies-lm","Integrated Engineering Software",,,,,1.37049544581812e-08
"2196",1444,"tcp","marcam-lm","Marcam  License Management",,,,,3.0951850697162e-06
"2197",1444,"udp","marcam-lm","Marcam  License Management",,,,,6.39121994514026e-07
"2198",1445,"tcp","proxima-lm","Proxima License Manager",,,,,2.69544482923473e-06
"2199",1445,"udp","proxima-lm","Proxima License Manager",,,,,7.20182402089351e-09
"2200",1446,"tcp","ora-lm","Optical Research Associates License Manager",,,,,5.19052226650364e-06
"2201",1446,"udp","ora-lm","Optical Research Associates License Manager",,,,,1.0904695358628e-08
"2202",1447,"tcp","apri-lm","Applied Parallel Research LM",,,,,5.26881589660509e-06
"2203",1447,"udp","apri-lm","Applied Parallel Research LM",,,,,9.35279335378256e-08
"2204",1448,"tcp","oc-lm","OpenConnect License Manager",,,,,2.02871195418775e-06
"2205",1448,"udp","oc-lm","OpenConnect License Manager",,,,,6.65531220317777e-08
"2206",1449,"tcp","peport","PEport",,,,,2.15739207468027e-06
"2207",1449,"udp","peport","PEport",,,,,8.0811055418746e-09
"2208",1450,"tcp","dwf","Tandem Distributed Workbench Facility",,,,,1.40723510388778e-06
"2209",1450,"udp","dwf","Tandem Distributed Workbench Facility",,,,,5.28682238041836e-09
"2210",1451,"tcp","infoman","IBM Information Management",,,,,2.06797255764869e-06
"2211",1451,"udp","infoman","IBM Information Management",,,,,6.02685635767067e-09
"2212",1452,"tcp","gtegsc-lm","GTE Government Systems License Man",,,,,1.51638774152985e-06
"2213",1452,"udp","gtegsc-lm","GTE Government Systems License Man",,,,,2.9283889425625e-07
"2214",1453,"tcp","genie-lm","Genie License Manager",,,,,1.66670305005118e-06
"2215",1453,"udp","genie-lm","Genie License Manager",,,,,2.33407535047387e-07
"2216",1454,"tcp","interhdl-elmd","interHDL License Manager
IANA assigned this well-formed service name as a replacement for ""interhdl_elmd"".",,,,,2.73369017811759e-06
"2217",1454,"udp","interhdl-elmd","interHDL License Manager
IANA assigned this well-formed service name as a replacement for ""interhdl_elmd"".",,,,,1.04063184942981e-08
"2218",1455,"tcp","esl-lm","ESL License Manager",,,,,1.61195527092424e-06
"2219",1455,"udp","esl-lm","ESL License Manager",,,,,1.14794790938609e-06
"2220",1456,"tcp","dca","DCA",,,,,3.33975786739539e-06
"2221",1456,"udp","dca","DCA",,,,,2.25986238560455e-08
"2222",1457,"tcp","valisys-lm","Valisys License Manager",,,,,1.15261552634571e-06
"2223",1457,"udp","valisys-lm","Valisys License Manager",,,,,2.48770935118959e-08
"2224",1458,"tcp","nrcabq-lm","Nichols Research Corp.",,,,,1.0172001143142e-06
"2225",1458,"udp","nrcabq-lm","Nichols Research Corp.",,,,,1.47929845014996e-07
"2226",1459,"tcp","proshare1","Proshare Notebook Application",,,,,2.47636309130962e-06
"2227",1459,"udp","proshare1","Proshare Notebook Application",,,,,2.80093036930543e-08
"2228",1460,"tcp","proshare2","Proshare Notebook Application",,,,,6.10674466275945e-06
"2229",1460,"udp","proshare2","Proshare Notebook Application",,,,,1.47896445251421e-07
"2230",1461,"tcp","ibm-wrless-lan","IBM Wireless LAN
IANA assigned this well-formed service name as a replacement for ""ibm_wrless_lan"".",,,,,9.66445162315636e-07
"2231",1461,"udp","ibm-wrless-lan","IBM Wireless LAN
IANA assigned this well-formed service name as a replacement for ""ibm_wrless_lan"".",,,,,8.46626703114193e-09
"2232",1462,"tcp","world-lm","World License Manager",,,,,2.75456503035206e-06
"2233",1462,"udp","world-lm","World License Manager",,,,,1.03597389220572e-08
"2234",1463,"tcp","nucleus","Nucleus",,,,,1.502397857618e-05
"2235",1463,"udp","nucleus","Nucleus",,,,,4.0933538677725e-09
"2236",1464,"tcp","msl-lmd","MSL License Manager
IANA assigned this well-formed service name as a replacement for ""msl_lmd"".",,,,,1.44234529555151e-06
"2237",1464,"udp","msl-lmd","MSL License Manager
IANA assigned this well-formed service name as a replacement for ""msl_lmd"".",,,,,1.17424727616363e-08
"2238",1465,"tcp","pipes","Pipes Platform",,,,,1.35839359814855e-06
"2239",1465,"udp","pipes","Pipes Platform",,,,,5.68041567274454e-09
"2240",1466,"tcp","oceansoft-lm","Ocean Software License Manager",,,,,1.15528275942612e-06
"2241",1466,"udp","oceansoft-lm","Ocean Software License Manager",,,,,4.15335883516885e-09
"2242",1467,"tcp","csdmbase","CSDMBASE",,,,,2.93954331752629e-06
"2243",1467,"udp","csdmbase","CSDMBASE",,,,,2.50337367658203e-07
"2244",1468,"tcp","csdm","CSDM",,,,,2.47363077780755e-06
"2245",1468,"udp","csdm","CSDM",,,,,7.98266383184539e-07
"2246",1469,"tcp","aal-lm","Active Analysis Limited License Manager",,,,,1.13835963951288e-06
"2247",1469,"udp","aal-lm","Active Analysis Limited License Manager",,,,,1.11759047133421e-08
"2248",1470,"tcp","uaiact","Universal Analytics",,,,,4.42959992975842e-06
"2249",1470,"udp","uaiact","Universal Analytics",,,,,8.10828378086098e-09
"2250",1471,"tcp","csdmbase","csdmbase",,,,,1.54919506861239e-06
"2251",1471,"udp","csdmbase","csdmbase",,,,,6.985134868483e-09
"2252",1472,"tcp","csdm","csdm",,,,,9.01630710819576e-07
"2253",1472,"udp","csdm","csdm",,,,,1.2433629295659e-06
"2254",1473,"tcp","openmath","OpenMath",,,,,2.13932984273236e-06
"2255",1473,"udp","openmath","OpenMath",,,,,1.87756607213395e-08
"2256",1474,"tcp","telefinder","Telefinder",,,,,2.32575324271638e-06
"2257",1474,"udp","telefinder","Telefinder",,,,,5.79975433779373e-08
"2258",1475,"tcp","taligent-lm","Taligent License Manager",,,,,2.51414190771058e-06
"2259",1475,"udp","taligent-lm","Taligent License Manager",,,,,3.02754940240632e-08
"2260",1476,"tcp","clvm-cfg","clvm-cfg",,,,,9.83891217742888e-07
"2261",1476,"udp","clvm-cfg","clvm-cfg",,,,,1.80681342100564e-07
"2262",1477,"tcp","ms-sna-server","ms-sna-server",,,,,1.38651538045717e-06
"2263",1477,"udp","ms-sna-server","ms-sna-server",,,,,7.26755933988951e-09
"2264",1478,"tcp","ms-sna-base","ms-sna-base",,,,,1.68000786224377e-06
"2265",1478,"udp","ms-sna-base","ms-sna-base",,,,,6.53603902786093e-09
"2266",1479,"tcp","dberegister","dberegister",,,,,3.08480912208534e-06
"2267",1479,"udp","dberegister","dberegister",,,,,1.27341845995093e-06
"2268",1480,"tcp","pacerforum","PacerForum",,,,,2.03720638180387e-06
"2269",1480,"udp","pacerforum","PacerForum",,,,,5.13537737401121e-08
"2270",1481,"tcp","airs","AIRS",,,,,1.90375451567705e-06
"2271",1481,"udp","airs","AIRS",,,,,1.1292885748021e-08
"2272",1482,"tcp","miteksys-lm","Miteksys License Manager",,,,,2.19846551579899e-06
"2273",1482,"udp","miteksys-lm","Miteksys License Manager",,,,,3.96166220192432e-08
"2274",1483,"tcp","afs","AFS License Manager",,,,,1.99951949661491e-06
"2275",1483,"udp","afs","AFS License Manager",,,,,3.83725626882348e-08
"2276",1484,"tcp","confluent","Confluent License Manager",,,,,1.04359812499983e-06
"2277",1484,"udp","confluent","Confluent License Manager",,,,,0.000128558872228556
"2278",1485,"tcp","lansource","LANSource",,,,,4.32124086395418e-06
"2279",1485,"udp","lansource","LANSource",,,,,0.000398445396237304
"2280",1486,"tcp","nms-topo-serv","nms_topo_serv
IANA assigned this well-formed service name as a replacement for ""nms_topo_serv"".",,,,,2.34104984326081e-06
"2281",1486,"udp","nms-topo-serv","nms_topo_serv
IANA assigned this well-formed service name as a replacement for ""nms_topo_serv"".",,,,,1.00713311449641e-05
"2282",1487,"tcp","localinfosrvr","LocalInfoSrvr",,,,,3.17753988185431e-06
"2283",1487,"udp","localinfosrvr","LocalInfoSrvr",,,,,8.65242159577487e-09
"2284",1488,"tcp","docstor","DocStor",,,,,1.16209811216309e-06
"2285",1488,"udp","docstor","DocStor",,,,,3.26671790549726e-08
"2286",1489,"tcp","dmdocbroker","dmdocbroker",,,,,2.46109285038253e-06
"2287",1489,"udp","dmdocbroker","dmdocbroker",,,,,7.73466485694754e-09
"2288",1490,"tcp","insitu-conf","insitu-conf",,,,,1.17320991880075e-06
"2289",1490,"udp","insitu-conf","insitu-conf",,,,,2.46174267225322e-08
"2290",1492,"tcp","stone-design-1","stone-design-1",,,,,5.33671876202369e-06
"2291",1492,"udp","stone-design-1","stone-design-1",,,,,1.51112351310715e-06
"2292",1493,"tcp","netmap-lm","netmap_lm
IANA assigned this well-formed service name as a replacement for ""netmap_lm"".",,,,,5.37693911751442e-06
"2293",1493,"udp","netmap-lm","netmap_lm
IANA assigned this well-formed service name as a replacement for ""netmap_lm"".",,,,,9.50067735598674e-09
"2294",1494,"tcp","ica","ica",,,,,3.30536871768649e-06
"2295",1494,"udp","ica","ica",,,,,1.56701376061751e-08
"2296",1495,"tcp","cvc","cvc",,,,,8.4716150864226e-07
"2297",1495,"udp","cvc","cvc",,,,,6.84240818271452e-08
"2298",1496,"tcp","liberty-lm","liberty-lm",,,,,1.77723097207576e-06
"2299",1496,"udp","liberty-lm","liberty-lm",,,,,1.63479972686365e-07
"2300",1497,"tcp","rfx-lm","rfx-lm",,,,,1.8495659370035e-06
"2301",1497,"udp","rfx-lm","rfx-lm",,,,,3.41176947676946e-09
"2302",1498,"tcp","sybase-sqlany","Sybase SQL Any",,,,,2.34983799232719e-06
"2303",1498,"udp","sybase-sqlany","Sybase SQL Any",,,,,1.38951939448696e-07
"2304",1499,"tcp","fhc","Federico Heinz Consultora",,,,,1.43254287425304e-06
"2305",1499,"udp","fhc","Federico Heinz Consultora",,,,,1.45883372736529e-07
"2306",1500,"tcp","vlsi-lm","VLSI License Manager",,,,,1.71864181901307e-05
"2307",1500,"udp","vlsi-lm","VLSI License Manager",,,,,4.49872466986115e-07
"2308",1501,"tcp","saiscm","Satellite-data Acquisition System 3",,,,,1.52689049365527e-06
"2309",1501,"udp","saiscm","Satellite-data Acquisition System 3",,,,,3.76577422579933e-08
"2310",1502,"tcp","shivadiscovery","Shiva",,,,,1.70416522359549e-06
"2311",1502,"udp","shivadiscovery","Shiva",,,,,4.79548566233543e-09
"2312",1503,"tcp","imtc-mcs","Databeam",,,,,9.88410254871905e-07
"2313",1503,"udp","imtc-mcs","Databeam",,,,,4.51355236392164e-09
"2314",1504,"tcp","evb-elm","EVB Software Engineering License Manager",,,,,1.45824251880513e-06
"2315",1504,"udp","evb-elm","EVB Software Engineering License Manager",,,,,1.96947272548167e-08
"2316",1505,"tcp","funkproxy","Funk Software, Inc.",,,,,6.18222739167981e-06
"2317",1505,"udp","funkproxy","Funk Software, Inc.",,,,,8.97152031738060e-09
"2318",1506,"tcp","utcd","Universal Time daemon (utcd)",,,,,2.69692890843535e-06
"2319",1506,"udp","utcd","Universal Time daemon (utcd)",,,,,1.35740077380384e-07
"2320",1507,"tcp","symplex","symplex",,,,,1.49581250482158e-06
"2321",1507,"udp","symplex","symplex",,,,,5.4139543236347e-09
"2322",1508,"tcp","diagmond","diagmond",,,,,1.7331107848768e-06
"2323",1508,"udp","diagmond","diagmond",,,,,1.48513759656186e-06
"2324",1509,"tcp","robcad-lm","Robcad, Ltd. License Manager",,,,,1.2393146817514e-06
"2325",1509,"udp","robcad-lm","Robcad, Ltd. License Manager",,,,,9.84228817313985e-09
"2326",1510,"tcp","mvx-lm","Midland Valley Exploration Ltd. Lic. Man.",,,,,1.22804258899344e-06
"2327",1510,"udp","mvx-lm","Midland Valley Exploration Ltd. Lic. Man.",,,,,5.37285951648996e-09
"2328",1511,"tcp","3l-l1","3l-l1",,,,,2.16855570006877e-06
"2329",1511,"udp","3l-l1","3l-l1",,,,,6.95293029252535e-08
"2330",1512,"tcp","wins","Microsoft's Windows Internet Name Service",,,,,2.7640977158148e-06
"2331",1512,"udp","wins","Microsoft's Windows Internet Name Service",,,,,2.12721293242511e-08
"2332",1513,"tcp","fujitsu-dtc","Fujitsu Systems Business of America, Inc",,,,,9.07231556467335e-07
"2333",1513,"udp","fujitsu-dtc","Fujitsu Systems Business of America, Inc",,,,,5.57694189539449e-09
"2334",1514,"tcp","fujitsu-dtcns","Fujitsu Systems Business of America, Inc",,,,,1.67076259484454e-06
"2335",1514,"udp","fujitsu-dtcns","Fujitsu Systems Business of America, Inc",,,,,2.49616898738537e-07
"2336",1515,"tcp","ifor-protocol","ifor-protocol",,,,,2.34356194753736e-06
"2337",1515,"udp","ifor-protocol","ifor-protocol",,,,,3.57230118356117e-09
"2338",1516,"tcp","vpad","Virtual Places Audio data",,,,,7.26802873754756e-06
"2339",1516,"udp","vpad","Virtual Places Audio data",,,,,2.35500406801331e-06
"2340",1517,"tcp","vpac","Virtual Places Audio control",,,,,2.50929067391345e-06
"2341",1517,"udp","vpac","Virtual Places Audio control",,,,,3.44634805552916e-08
"2342",1518,"tcp","vpvd","Virtual Places Video data",,,,,1.25255760614678e-06
"2343",1518,"udp","vpvd","Virtual Places Video data",,,,,4.52788642912188e-08
"2344",1519,"tcp","vpvc","Virtual Places Video control",,,,,1.79668756229077e-06
"2345",1519,"udp","vpvc","Virtual Places Video control",,,,,6.54230966974844e-08
"2346",1520,"tcp","atm-zip-office","atm zip office",,,,,1.08640401513109e-06
"2347",1520,"udp","atm-zip-office","atm zip office",,,,,4.72559174532373e-07
"2348",1521,"tcp","ncube-lm","nCube License Manager",,,,,3.07024084922848e-06
"2349",1521,"udp","ncube-lm","nCube License Manager",,,,,2.17630567315152e-09
"2350",1522,"tcp","ricardo-lm","Ricardo North America License Manager",,,,,1.98936171165546e-06
"2351",1522,"udp","ricardo-lm","Ricardo North America License Manager",,,,,4.6066542048866e-08
"2352",1523,"tcp","cichild-lm","cichild",,,,,1.68726633488328e-06
"2353",1523,"udp","cichild-lm","cichild",,,,,9.35340732002498e-09
"2354",1524,"tcp","ingreslock","ingres",,,,,7.16089932332892e-06
"2355",1524,"udp","ingreslock","ingres",,,,,3.65850204396081e-09
"2356",1525,"tcp","orasrv","oracle",,,,,2.85505640528447e-06
"2357",1525,"udp","orasrv","oracle",,,,,4.57511271247047e-09
"2358",1526,"tcp","pdap-np","Prospero Data Access Prot non-priv",,,,,3.94109801660834e-06
"2359",1526,"udp","pdap-np","Prospero Data Access Prot non-priv",,,,,3.52048243271911e-09
"2360",1527,"tcp","tlisrv","oracle",,,,,2.90043129389597e-06
"2361",1527,"udp","tlisrv","oracle",,,,,2.44334005742138e-09
"2362",1528,"udp","ngr-t","NGR transport protocol for mobile ad-hoc networks",2016-09-13,,,,5.92152430916145e-08
"2363",1529,"tcp","coauthor","oracle",,,,,1.44695757368717e-06
"2364",1529,"udp","coauthor","oracle",,,,,1.33900307070126e-08
"2365",1530,"tcp","rap-service","rap-service",,,,,8.86053740544099e-06
"2366",1530,"udp","rap-service","rap-service",,,,,2.26633277117559e-07
"2367",1531,"tcp","rap-listen","rap-listen",,,,,6.50932928604773e-06
"2368",1531,"udp","rap-listen","rap-listen",,,,,5.95932007102938e-09
"2369",1532,"tcp","miroconnect","miroconnect",,,,,1.8980562540522e-06
"2370",1532,"udp","miroconnect","miroconnect",,,,,1.14484238627087e-08
"2371",1533,"tcp","virtual-places","Virtual Places Software",,,,,1.93726053634319e-06
"2372",1533,"udp","virtual-places","Virtual Places Software",,,,,6.0081099217426e-09
"2373",1534,"tcp","micromuse-lm","micromuse-lm",,,,,1.35127150787697e-06
"2374",1534,"udp","micromuse-lm","micromuse-lm",,,,,1.32018295882387e-08
"2375",1535,"tcp","ampr-info","ampr-info",,,,,1.51342351251256e-06
"2376",1535,"udp","ampr-info","ampr-info",,,,,5.47551467218513e-09
"2377",1536,"tcp","ampr-inter","ampr-inter",,,,,1.39523853096405e-06
"2378",1536,"udp","ampr-inter","ampr-inter",,,,,1.00103511991678e-08
"2379",1537,"tcp","sdsc-lm","isi-lm",,,,,9.9417826306187e-07
"2380",1537,"udp","sdsc-lm","isi-lm",,,,,1.03355093582755e-06
"2381",1538,"tcp","3ds-lm","3ds-lm",,,,,1.81399682603927e-06
"2382",1538,"udp","3ds-lm","3ds-lm",,,,,1.66843279761084e-08
"2383",1539,"tcp","intellistor-lm","Intellistor License Manager",,,,,2.40032844766862e-06
"2384",1539,"udp","intellistor-lm","Intellistor License Manager",,,,,8.1300168760414e-06
"2385",1540,"tcp","rds","rds",,,,,9.32059614542018e-07
"2386",1540,"udp","rds","rds",,,,,1.90041953291163e-07
"2387",1541,"tcp","rds2","rds2",,,,,3.12541472092751e-06
"2388",1541,"udp","rds2","rds2",,,,,9.61217362556497e-09
"2389",1542,"tcp","gridgen-elmd","gridgen-elmd",,,,,9.17492897066309e-07
"2390",1542,"udp","gridgen-elmd","gridgen-elmd",,,,,7.64799738220071e-08
"2391",1543,"tcp","simba-cs","simba-cs",,,,,1.19384229530065e-06
"2392",1543,"udp","simba-cs","simba-cs",,,,,6.30936269124507e-09
"2393",1544,"tcp","aspeclmd","aspeclmd",,,,,1.13621165814904e-06
"2394",1544,"udp","aspeclmd","aspeclmd",,,,,9.0714330905279e-08
"2395",1545,"tcp","vistium-share","vistium-share",,,,,1.7054904901948e-06
"2396",1545,"udp","vistium-share","vistium-share",,,,,1.89073114560987e-06
"2397",1546,"tcp","abbaccuray","abbaccuray",,,,,4.02116175231709e-06
"2398",1546,"udp","abbaccuray","abbaccuray",,,,,2.08858217646642e-08
"2399",1547,"tcp","laplink","laplink",,,,,1.92626947639982e-06
"2400",1547,"udp","laplink","laplink",,,,,1.06838230495516e-07
"2401",1548,"tcp","axon-lm","Axon License Manager",,,,,1.7326573503414e-06
"2402",1548,"udp","axon-lm","Axon License Manager",,,,,9.52546685697924e-07
"2403",1549,"tcp","shivahose","Shiva Hose",,,,,1.31896853359687e-06
"2404",1549,"udp","shivasound","Shiva Sound",,,,,2.77469043446023e-06
"2405",1550,"tcp","3m-image-lm","Image Storage license manager 3M Company",,,,,1.68545308791468e-06
"2406",1550,"udp","3m-image-lm","Image Storage license manager 3M Company",,,,,4.54856563078053e-07
"2407",1551,"tcp","hecmtl-db","HECMTL-DB",,,,,2.38407815289467e-06
"2408",1551,"udp","hecmtl-db","HECMTL-DB",,,,,7.08529772235786e-05
"2409",1552,"tcp","pciarray","pciarray",,,,,2.46313154575526e-06
"2410",1552,"udp","pciarray","pciarray",,,,,1.09946700648642e-07
"2411",1553,"tcp","sna-cs","sna-cs",,,,,2.65352919015607e-06
"2412",1553,"udp","sna-cs","sna-cs",,,,,4.05627030673626e-09
"2413",1554,"tcp","caci-lm","CACI Products Company License Manager",,,,,1.12802978028128e-06
"2414",1554,"udp","caci-lm","CACI Products Company License Manager",,,,,4.36501346439362e-08
"2415",1555,"tcp","livelan","livelan",,,,,5.62620676769574e-05
"2416",1555,"udp","livelan","livelan",,,,,1.03916062258923e-06
"2417",1556,"tcp","veritas-pbx","VERITAS Private Branch Exchange
IANA assigned this well-formed service name as a replacement for ""veritas_pbx"".",,,,,2.49137685807182e-06
"2418",1556,"udp","veritas-pbx","VERITAS Private Branch Exchange
IANA assigned this well-formed service name as a replacement for ""veritas_pbx"".",,,,,1.03673521034602e-08
"2419",1557,"tcp","arbortext-lm","ArborText License Manager",,,,,1.69687785361152e-06
"2420",1557,"udp","arbortext-lm","ArborText License Manager",,,,,7.84034891277142e-09
"2421",1558,"tcp","xingmpeg","xingmpeg",,,,,1.74438672515654e-06
"2422",1558,"udp","xingmpeg","xingmpeg",,,,,1.56247671381211e-06
"2423",1559,"tcp","web2host","web2host",,,,,1.17361431789894e-06
"2424",1559,"udp","web2host","web2host",,,,,8.24196469732899e-09
"2425",1560,"tcp","asci-val","ASCI-RemoteSHADOW",,,,,2.14195483493531e-06
"2426",1560,"udp","asci-val","ASCI-RemoteSHADOW",,,,,3.25108223186288e-08
"2427",1561,"tcp","facilityview","facilityview",,,,,1.95431815579454e-06
"2428",1561,"udp","facilityview","facilityview",,,,,5.60502061820335e-09
"2429",1562,"tcp","pconnectmgr","pconnectmgr",,,,,2.15101910508633e-06
"2430",1562,"udp","pconnectmgr","pconnectmgr",,,,,3.57368465415929e-08
"2431",1563,"tcp","cadabra-lm","Cadabra License Manager",,,,,1.98685566517916e-06
"2432",1563,"udp","cadabra-lm","Cadabra License Manager",,,,,3.29404750762916e-06
"2433",1564,"tcp","pay-per-view","Pay-Per-View",,,,,6.32041072725544e-06
"2434",1564,"udp","pay-per-view","Pay-Per-View",,,,,1.4583744806162e-08
"2435",1565,"tcp","winddlb","WinDD",,,,,2.13003013699298e-06
"2436",1565,"udp","winddlb","WinDD",,,,,3.86142198011608e-08
"2437",1566,"tcp","corelvideo","CORELVIDEO",,,,,2.5007989477488e-06
"2438",1566,"udp","corelvideo","CORELVIDEO",,,,,1.29908707874218e-08
