"id","port_number","transport_protocol","service_name","description","registration_date","modification_date","reference","assignment_notes","traffic"
"69",54,"tcp","xns-ch","XNS Clearinghouse",,,,,2.19501936421265e-08
"70",54,"udp","xns-ch","XNS Clearinghouse",,,,,2.87172477013841e-10
"71",55,"tcp","isi-gl","ISI Graphics Language",,,,,2.13493253464363e-08
"72",55,"udp","isi-gl","ISI Graphics Language",,,,,1.98352027310291e-10
"73",56,"tcp","xns-auth","XNS Authentication",,,,,2.08139467832462e-08
"74",56,"udp","xns-auth","XNS Authentication",,,,,4.73163317314639e-11
"75",58,"tcp","xns-mail","XNS Mail",,,,,2.5702509727897e-08
"76",58,"udp","xns-mail","XNS Mail",,,,,5.64439631987e-10
"77",62,"tcp","acas","ACA Services",,,,,2.20309097374332e-08
"78",62,"udp","acas","ACA Services",,,,,2.46732567194891e-10
"79",63,"tcp","whoispp","whois++
IANA assigned this well-formed service name as a replacement for ""whois++"".",,,,,2.25047279520729e-08
"80",63,"udp","whoispp","whois++
IANA assigned this well-formed service name as a replacement for ""whois++"".",,,,,1.24921664744323e-10
"81",64,"tcp","covia","Communications Integrator (CI)",,,,,6.12648261323771e-08
"82",64,"udp","covia","Communications Integrator (CI)",,,,,6.87642191253155e-11
"83",65,"tcp","tacacs-ds","TACACS-Database Service",,,,,2.24801693023853e-08
"84",65,"udp","tacacs-ds","TACACS-Database Service",,,,,1.41687036264407e-09
"85",66,"tcp","sql-net","Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net"".",,,,,2.39356786072045e-08
"86",66,"udp","sql-net","Oracle SQL*NET
IANA assigned this well-formed service name as a replacement for ""sql*net"".",,,,,2.84061714719953e-11
"87",67,"tcp","bootps","Bootstrap Protocol Server",,,"[RFC951]","Defined TXT keys: None",2.50179782989376e-08
"88",67,"udp","bootps","Bootstrap Protocol Server",,,,,0
"89",68,"tcp","bootpc","Bootstrap Protocol Client",,,,,2.06875515995207e-08
"90",68,"udp","bootpc","Bootstrap Protocol Client",,,,,7.53131923751791e-12
"91",69,"tcp","tftp","Trivial File Transfer",,,,,2.45371199380546e-08
"92",69,"udp","tftp","Trivial File Transfer",,,,,0
"93",70,"tcp","gopher","Gopher",,,,,3.66437156123913e-08
"94",70,"udp","gopher","Gopher",,,,,1.13451956718556e-08
"95",71,"tcp","netrjs-1","Remote Job Service",,,,,1.04850600741698e-06
"96",71,"udp","netrjs-1","Remote Job Service",,,,,1.18618277991656e-10
"97",72,"tcp","netrjs-2","Remote Job Service",,,,,2.51081904054568e-08
"98",72,"udp","netrjs-2","Remote Job Service",,,,,2.65233416626252e-11
